information,source_file_name,page_number
"122 Schizophrenia Spectrum and Other Psychotic Disorders
Other Specified Schizophrenia Spectrum and
Other Psychotic Disorder
298.8 (F28)
This category applies to presentations in which symptoms characteristic of a schizophre-
nia spectrum and other psychotic disorder that cause clinically significant distress or im-
pairment in social, occupational, or other important areas of functioning predominate but
do not meet the full criteria for any of the disorders in the schizophrenia spectrum and other
psychotic disorders diagnostic class. The other specified schizophrenia spectrum and oth-
er psychotic disorder category is used in situations in which the clinician chooses to com-
municate the specific reason that the presentation does not meet the criteria for any
specific schizophrenia spectrum and other psychotic disorder. This is done by recording “oth-
er specified schizophrenia spectrum and other psychotic disorder” followed by the specific
reason (e.g., “persistent auditory hallucinations”). 
Examples of presentations that can be specified using the “other specified” designation
include the following:
1.Persistent auditory hallucinations  occurring in the absence of any other features",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,167
"2.Delusions with significant overlapping mood episodes:  This includes persistent
delusions with periods of overlapping mood episodes that are present for a substantial
portion of the delusional disturbance (such that  the criterion stipulating only brief mood
disturbance in delusional disorder is not met)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,167
"3.Attenuated psychosis syndrome: This syndrome is characterized by psychotic-like
symptoms that are below a threshold for full psychosis (e.g., the symptoms are less
severe and more transient, and insight is relatively maintained)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,167
"4.Delusional symptoms in partner of individual with delusional disorder:  In the
context of a relationship, the delusional ma terial from the dominant partner provides
content for delusional belief by the individual who may not otherwise entirely meet cri-
teria for delusional disorder",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,167
"Unspecified Schizophrenia Spectrum and
Other Psychotic Disorder
298.9 (F29)
This category applies to presentations in which symptoms characteristic of a schizophre-
nia spectrum and other psychotic disorder that cause clinically significant distress or im-
pairment in social, occupational, or other important areas of functioning predominate but
do not meet the full criteria for any of the disorders in the schizophrenia spectrum and oth-
er psychotic disorders diagnostic class. The unspecified schizophrenia spectrum and oth-
er psychotic disorder category is used in situations in which the clinician chooses not to
specify the reason that the criteria are not met for a specific schizophrenia spectrum and
other psychotic disorder, and includes presentatio ns in which there is insufficient informa-
tion to make a more specific diagnosis (e.g., in emergency room settings). ",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,167
"123Bipolar and
 Related Disorders
Bipolar and related  disorders are separated from  the depressive disorders in
DSM-5 and placed between the chapters on schizophrenia spectrum and other psychotic
disorders and depressive disord ers in recognition of their place as a bridge between the
two diagnostic classes in terms of symptomato logy, family history, and genetics. The di-
agnoses included in this chapter are bipola r I disorder, bipolar II disorder, cyclothymic
disorder, substance/medication-induced bipo lar and related disorder, bipolar and relat-
ed disorder due to another medical condition, other specified bipolar and related disor-
der, and unspecified bipolar and related disorder",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,168
"The bipolar I disorder criter ia represent the modern understanding of the classic
manic-depressive disorder or affective psycho sis described in the ni neteenth century, dif-
fering from that classic description only to th e extent that neither psychosis nor the lifetime
experience of a major depressive episode is a requirement. However, the vast majority of
individuals whose symptoms meet the criter ia for a fully syndromal manic episode also
experience major depressive episodes during the course of their lives",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,168
"Bipolar II disorder, requiring the lifetime experience of at least one episode of major de-
pression and at least one hypomanic episode, is no longer thought to be a “milder” condition
than bipolar I disorder, largely because of th e amount of time individuals with this con-
dition spend in depression and because the in stability of mood experienced by individuals
with bipolar II disorder is typically accompanied by serious impairment in work and social
functioning",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,168
"The diagnosis of cyclothymic disorder is give n to adults who experience at least 2 years
(for children, a full year) of both hypomanic and depressive periods without ever fulfilling
the criteria for an episode of mani a, hypomania, or major depression",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,168
"A large number of substances of abuse, some prescribed medi cations, and several
medical conditions can be associated with manic-like phenomena. This fact is recognized
in the diagnoses of substance/medication-induced bipolar and related disorder and bipo-
lar and related disorder due to another medical condition",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,168
"The recognition that many individuals, partic ularly children and, to a lesser extent, ad-
olescents, experience bipolar-like phenomena that  do not meet the criteria for bipolar I, bi-
polar II, or cyclothymic disorder is reflected in the availability of the other specified
bipolar and related disorder category. Indeed, specific criteria for a disorder involving
short-duration hypomania are provided in Section III in the hope of encouraging further
study of this disorder",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,168
"Bipolar I Disorder
Diagnostic Criteria
For a diagnosis of bipolar I disorder, it is nece ssary to meet the following criteria for a manic
episode. The manic episode may have been preceded by and may be followed by hypo-
manic or major depressive episodes.",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,168
"124 Bipolar and Related Disorders
Manic Episode
A. A distinct period of abnormally and persistently elevated, expansive, or irritable mood
and abnormally and persistently increased goal-d irected activity or energy, lasting at
least 1 week and present most of the day, nearly every day (or any duration if hospi-
talization is necessary)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"B. During the period of mood disturbance and increased energy or activity, three (or
more) of the following symptoms (four if the mood is only irritable) are present to a sig-
nificant degree and represent a notic eable change from usual behavior: 
1. Inflated self-esteem or grandiosity",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"2. Decreased need for sleep (e.g., feels rested after only 3 hours of sleep)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
3. More talkative than usual or pressure to keep talking,Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
4. Flight of ideas or subjective experience that thoughts are racing,Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"5. Distractibility (i.e., attention too easily dr awn to unimportant or irrelevant external
stimuli), as reported or observed",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"6. Increase in goal-directed activity (either socially, at work or school, or sexually) or
psychomotor agitation (i.e., purposeless non-goal-directed activity)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"7. Excessive involvement in activities that have a high potential for painful conse-
quences (e.g., engaging in unrestrained buyin g sprees, sexual indiscretions, or
foolish business investments)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"C. The mood disturbance is sufficiently severe to cause marked impairment in social or
occupational functioning or to necessitate hospitalization to prevent harm to self or oth-
ers, or there are psychotic features",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"D. The episode is not attributable to the physiological effects of a substance (e.g., a drug
of abuse, a medication, other treatm ent) or to another medical condition",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"Note:  A full manic episode that emerges during antidepressant treatment (e.g., medi-
cation, electroconvulsive therapy) but persists at a fully syndromal level beyond the
physiological effect of that treatment is sufficient evidence for a manic episode and,
therefore, a bipolar I diagnosis",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"Note:  Criteria A–D constitute a manic episode. At least one lifetime manic episode is re-
quired for the diagnosis of bipolar I disorder",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"Hypomanic Episode
A. A distinct period of abnormally and persistently elevated, expansive, or irritable mood
and abnormally and persistently increased activity or energy, lasting at least 4 consec-
utive days and present most of the day, nearly every day",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"B. During the period of mood disturbance and increased energy and activity, three (or
more) of the following symptoms (four if the mood is only irritable) have persisted, rep-
resent a noticeable change from usual behavior, and have been present to a significant
degree:
1. Inflated self-esteem or grandiosity",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"2. Decreased need for sleep (e.g., feels rested after only 3 hours of sleep)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
3. More talkative than usual or pressure to keep talking,Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
4. Flight of ideas or subjective experience that thoughts are racing,Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"5. Distractibility (i.e., attention too easily dr awn to unimportant or irrelevant external
stimuli), as reported or observed",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"6. Increase in goal-directed activity (either socially, at work or school, or sexually) or
psychomotor agitation",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"7. Excessive involvement in activities that have a high potential for painful conse-
quences (e.g., engaging in unrestrained buyin g sprees, sexual indiscretions, or
foolish business investments).",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,169
"Bipolar I Disorder 125
C. The episode is associated with an unequivocal change in functioning that is uncharac-
teristic of the individual when not symptomatic",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
D. The disturbance in mood and the change in functioning are observable by others,Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"E. The episode is not severe enough to cause marked impairment in social or occupa-
tional functioning or to necessitate hospitalization. If there are psychotic features, the
episode is, by definition, manic",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"F. The episode is not attributable to the physiological effects of a substance (e.g., a drug
of abuse, a medication, other treatment)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"Note:  A full hypomanic episode that emerges during antidepressant treatment (e.g.,
medication, electroconvulsive therapy) but persists at a fully syndromal level beyond
the physiological effect of that treatment is sufficient evidence for a hypomanic episode
diagnosis. However, caution is indicated so that one or two symptoms (particularly in-
creased irritability, edginess, or agitation following antidepressant use) are not taken
as sufficient for diagnosis of a hypomanic episode, nor necessarily indicative of a bi-
polar diathesis",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"Note:  Criteria A–F constitute a hypomanic episode. Hypomanic episodes are common in
bipolar I disorder but are not required for the diagnosis of bipolar I disorder",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"Major Depressive Episode
A. Five (or more) of the following symptoms have been present during the same 2-week
period and represent a change from previous functioning; at least one of the symptoms
is either (1) depressed mood or (2) loss of interest or pleasure",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"Note:  Do not include symptoms that are clearly attributable to another medical condi-
tion",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"1. Depressed mood most of the day, nearly every day, as indicated by either subjec-
tive report (e.g., feels sad, empty, or hopeless) or observation made by others (e.g.,
appears tearful). ( Note:  In children and adolescents, can be irritable mood.)
2. Markedly diminished interest or pleasure in al l, or almost all, activities most of the
day, nearly every day (as indicated by either subjective account or observation)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"3. Significant weight loss when not dieting or weight gain (e.g., a change of more than
5% of body weight in a month), or dec rease or increase in appetite nearly every
day. ( Note:  In children, consider failure to make expected weight gain.)
4. Insomnia or hypersomnia nearly every day",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"5. Psychomotor agitation or retardation nearly every day (observable by others; not
merely subjective feelings of restlessness or being slowed down)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"7. Feelings of worthlessness or excessive or inappropriate guilt (which may be delu-
sional) nearly every day (not merely self-reproach or guilt about being sick)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"8. Diminished ability to think or concentrate, or indecisiveness, nearly every day (ei-
ther by subjective account or as observed by others)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"9. Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation with-
out a specific plan, or a suicide attempt or a specific plan for committing suicide",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"B. The symptoms cause clinically significant distress or impairment in social, occupa-
tional, or other important areas of functioning",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"C. The episode is not attributable to the physiological effects of a substance or another
medical condition. 
Note:  Criteria A–C constitute a major depressive episode. Major depressive episodes are
common in bipolar I disorder but are not requi red for the diagnosis of bipolar I disorder",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"Note:  Responses to a significant loss (e.g., bereavement, financial ruin, losses from a
natural disaster, a serious medical illness or disability) may include the feelings of intense",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,170
"126 Bipolar and Related Disorders
sadness, rumination about the loss, insomnia, poor appetite, and weight loss noted in Cri-
terion A, which may resemble a depressive episode. Although such symptoms may be un-
derstandable or considered appropriate to the loss, the presence of a major depressive
episode in addition to the normal response to a significant loss should also be carefully
considered. This decision inevitably requires the exercise of clinical judgment based on
the individual’s history and the cultural norms for the expression of distress in the context
of loss.1
Bipolar I Disorder
A. Criteria have been met for at least one manic episode (Criteria A–D under “Manic Ep-
isode” above)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,171
"B. The occurrence of the manic and major depressive episode(s) is not better explained
by schizoaffective disorder, schizophrenia, schizophreniform disorder, delusional dis-
order, or other specified or unspecified schizophrenia spectrum and other psychotic
disorder",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,171
"Coding and Recording Procedures
The diagnostic code for bipolar I disorder is based on type of current or most recent epi-
sode and its status with respect to current severity, presence of psychotic features, and
remission status. Current severity and psychotic features are only indicated if full criteria
are currently met for a manic or major depressive episode. Remission specifiers are only
indicated if the full criteria are not current ly met for a manic, hypomanic, or major depres-
sive episode. Codes are as follows:
1In distinguishing grief from a major depressive episode (MDE), it is useful to consider that in
grief the predominant affect is feelings of emptiness and loss, while in MDE it is persistent
depressed mood and the inability to anticipate happiness or pleasure. The dysphoria in grief is
likely to decrease in intensity over days to weeks and occurs in waves, the so-called pangs of
grief. These waves tend to be associated with  thoughts or reminder s of the deceased. The
depressed mood of a MDE is more persistent and not tied to specific thoughts or preoccupations",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,171
"The pain of grief may be accompanied by positi ve emotions and humor th at are uncharacteristic
of the pervasive unhappiness and misery charac teristic of a major depressive episode. The
thought content associated with grief generally  features a preoccupation with thoughts and
memories of the deceased, rather than the self-c ritical or pessimistic ruminations seen in a MDE",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,171
"In grief, self-esteem is generally preserved, whereas in a MDE, feelings of worthlessness and self-
loathing are common. If self-derog atory ideation is present in grief, it typically involves per-
ceived failings vis-à-vis the deceased (e.g., no t visiting frequently enough, not telling the
deceased how much he or she was loved). If a be reaved individual thinks  about death and dying,
such thoughts are generally focu sed on the deceased and possibl y about “joining” the deceased,
whereas in a major depressive episode such th oughts are focused on ending one’s own life
because of feeling worthless, undeserving of life, or unable to cope with the pain of depression.Bipolar I disorderCurrent or 
most recent 
episode 
manicCurrent or 
most recent 
episode 
hypomanic* Current or 
most recent 
episode 
depressedCurrent or 
most recent 
episode 
unspecified**
Mild (p. 154) 296.41 
(F31.11)NA 296.51 
(F31.31)NA
Moderate (p. 154) 296.42 
(F31.12)NA 296.52 
(F31.32)NA
Severe (p. 154) 296.43 
(F31.13)NA 296.53 
(F31.4)NA",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,171
"Bipolar I Disorder 127
In recording the name of a diagnosis, terms should be listed in the following order: bipolar
I disorder, type of current or most recent episode, severity/psychotic/remission specifiers,
followed by as many specifiers without codes as apply to the current or most recent epi-
sode",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,172
"Specify:
With anxious distress (p. 149)
With mixed features (pp. 149–150)
With rapid cycling (pp. 150–151)
With melancholic features (p. 151)
With atypical features  (pp. 151–152)
With mood-congruent psychotic features (p. 152)
With mood-incongruent psychotic features  (p. 152)
With catatonia  (p. 152). Coding note:  Use additional code 293.89 (F06.1)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,172
"With peripartum onset  (pp. 152–153)
With seasonal pattern (pp. 153–154)
Diagnostic Features
The essential feature of a manic episode is a distinct period during which there is an ab-
normally, persistently elevated, expansive, or  irritable mood and persistently increased
activity or energy that is present for most of  the day, nearly every day, for a period of at
least 1 week (or any duration if hospitalizatio n is necessary), accompanied by at least three
additional symptoms from Criterion B. If the mo od is irritable rather than elevated or ex-
pansive, at least fo ur Criterion B symptoms must be present",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,172
"Mood in a manic episode is often described as euphoric, excessively cheerful, high, or
“feeling on top of the world.” In some cases, the mood is of such a highly infectious quality
that it is easily recognized as excessive and may be characterized by unlimited and hap-
hazard enthusiasm for interpersonal, sexual, or occupational inte ractions. For example,
the individual may spontaneously start extens ive conversations with strangers in public",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,172
"Often the predominant mood is irritable rather than elevated, particularly when the indi-
vidual’s wishes are denied or if the individu al has been using substances. Rapid shifts in
mood over brief periods of time may occur and are referred to as lability (i.e., the alterna-With psychotic 
features*** 
(p. 152)296.44 
(F31.2)NA 296.54 
(F31.5)NA
In partial 
remission (p. 154)296.45 
(F31.73)296.45 
(F31.71)296.55 
(F31.75)NA
In full remission 
(p. 154)296.46 
(F31.74)296.46 
(F31.72)296.56 
(F31.76)NA
Unspecified 296.40 
(F31.9)296.40 
(F31.9)296.50 
(F31.9)NA
*Severity and psychotic specifiers do not apply; code 296.40 (F31.0) for cases not in remission",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,172
"**Severity, psychotic, and remission specif iers do not apply. Code 296.7 (F31.9)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,172
"***If psychotic features are present, code the “with psychotic features” specifier irrespective of epi-
sode severity.Bipolar I disorderCurrent or 
most recent 
episode 
manicCurrent or 
most recent 
episode 
hypomanic* Current or 
most recent 
episode 
depressedCurrent or 
most recent 
episode 
unspecified**",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,172
"128 Bipolar and Related Disorders
tion among euphoria, dysphoria,  and irritability). In children, happiness, silliness and
“goofiness” are normal in the context of spec ial occasions; however, if these symptoms are
recurrent, inappropriate to the context, and beyond what is expected for the developmen-
tal level of the child, they may meet Criterion A. If the happiness is unusual for a child (i.e.,
distinct from baseline), and the mood change occurs at the same ti me as symptoms that
meet Criterion B for mania, diagnostic certainty is increased; however, the mood change
must be accompanied by persistently increased activity or energy levels that are obvious
to those who know the child well",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,173
"During the manic episode, the individual may engage in multiple overlapping new
projects. The projects are often initiated with little knowledge of the topic, and nothing seems
out of the individual’s reach. The increased activity levels may manife st at unusual hours of
the day",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,173
"Inflated self-esteem is typicall y present, ranging from uncritical self-confidence to marked
grandiosity, and may reach delusi onal proportions (Criterion B1).  Despite lack of any partic-
ular experience or talent, the individual may embark on comple x tasks such as writing a novel
or seeking publicity for some im practical invention. Grandiose delusions (e.g., of having a
special relationship to a famous person) are co mmon. In children, overe stimation of abilities
and belief that, for example, they are the best at  a sport or the smartest in the class is normal;
however, when such beliefs are present despite cl ear evidence to the contrary or the child at-
tempts feats that are clearly dangerous and, most important,  represent a change from the
child’s normal behavior, the grandiosity criterion should be considered satisfied. 
One of the most common features is a decreased need for sleep (Criterion B2) and is
distinct from insomnia in which the individual wants to sleep or feels the need to sleep but
is unable. The individual may sleep little, if at all, or may awaken several hours earlier than
usual, feeling rested and full of energy. When  the sleep disturbance is severe, the individ-
ual may go for days without sleep, yet not feel  tired. Often a decreased need for sleep her-
alds the onset of a manic episode",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,173
"Speech can be rapid, pressured, loud, and diff icult to interrupt (Criterion B3). Individ-
uals may talk continuously and without regard for others’ wi shes to communicate, often
in an intrusive manner or without concern for the relevance of what is said. Speech is
sometimes characterized by jokes, puns, amus ing irrelevancies, and theatricality, with
dramatic mannerisms, singing, and excessive gesturing. Loudness and forcefulness of
speech often become more important than what  is conveyed. If the individual’s mood is
more irritable than expansive, speech may be  marked by complaints, hostile comments, or
angry tirades, particularly if attempts are ma de to interrupt the individual. Both Criterion
A and Criterion B symptoms may be accompanie d by symptoms of the opposite (i.e., de-
pressive) pole (see “with mixed features” specifier, pp. 149–150)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,173
"Often the individual’s thoughts race at a rate faster than they can be expressed through
speech (Criterion B4). Frequently there is flight  of ideas evidenced by a nearly continuous flow
of accelerated speech, with abrupt shifts from one topic to another. When flight of ideas is se-
vere, speech may become disorganized, incoherent , and particularly distressful to the individ-
ual. Sometimes thoughts are experienced as so crowded that it is very difficult to speak",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,173
"Distractibility (Criterion B5) is evidenced by  an inability to censor immaterial external
stimuli (e.g., the interviewer’s attire, backgr ound noises or conversations, furnishings in
the room) and often prevents individuals expe riencing mania from holding a rational con-
versation or attending to instructions",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,173
"The increase in goal -directed ac tivity often consists of excessive planning and partici-
pation in multiple activities, including sexual, occupational, political, or religious activi-
ties. Increased sexual drive, fantasies, and be havior are often present. Individuals in a manic
episode usually show increased sociability (e.g ., renewing old acquaintances or calling or
contacting friends or even strangers), without regard to the intrusive, domineering, and
demanding nature of these interactions. They often display psychomotor agitation or rest-
lessness (i.e., purposeless acti vity) by pacing or by holding multiple conversations simulta-",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,173
"Bipolar I Disorder 129
neously. Some individuals write excessive letters , e-mails, text messages, and so forth, on
many different topics to friends,  public figures, or the media. 
The increased activity criterion can be diffic ult to ascertain in children; however, when
the child takes on many tasks simultaneously, starts devising elaborate and unrealistic
plans for projects, develops previously abse nt and developmentally inappropriate sexual
preoccupations (not accounted for by sexual abuse or exposure  to sexually explicit mate-
rial), then Criterion B might be met based on clinical judgment. It is essential to determine
whether the behavior represents a change from the child’s baseline behavior; occurs most
of the day, nearly every day for the requisite time period; and occurs in temporal associa-
tion with other symptoms of mania. 
The expansive mood, excessive optimism, gr andiosity, and poor judgment often lead
to reckless involvement in activities such as spending sprees, giving away possessions,
reckless driving, foolish business investments,  and sexual promiscuity that is unusual for
the individual, even though these activities ar e likely to have catastrophic consequences
(Criterion B7). The individual may purchase  many unneeded items without the money to
pay for them and, in some cases, give them  away. Sexual behavior may include infidelity
or indiscriminate sexual encounters with strangers, often disregarding the risk of sexually
transmitted diseases or in terpersonal consequences",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,174
"The manic episode must result in marked impairment in social or occupational func-
tioning or require hospitalizatio n to prevent harm to self or others (e.g., financial losses, il-
legal activities, loss of employment, self-injur ious behavior). By definition, the presence of
psychotic features during a manic episode also satisfies Criterion C",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,174
"Manic symptoms or syndromes that are attrib utable to the physiological effects of a
drug of abuse (e.g., in the context of cocaine or amphetamine intoxication), the side effects
of medications or treatments (e.g., steroids, L-dopa, antidepressants, stimulants), or an-
other medical condition do not count toward the diagnosis of bipolar I disorder. However,
a fully syndromal manic episode that arises duri ng treatment (e.g., with medications, elec-
troconvulsive therapy, light ther apy) or drug use and persists beyond the physiological ef-
fect of the inducing agent (i.e., after a medica tion is fully out of the individual’s system or
the effects of electroconvulsive therapy would be expected to have dissipated completely)
is sufficient evidence for a manic episode di agnosis (Criterion D). Caution is indicated so
that one or two symptoms (particularly increa sed irritability, edginess, or agitation follow-
ing antidepressant use) are not taken as suffi cient for diagnosis of a manic or hypomanic
episode, nor necessarily an indication of a bi polar disorder diathesis. It is necessary to
meet criteria for a manic episode to make a diag nosis of bipolar I disorder, but it is not re-
quired to have hypomanic or major depressi ve episodes. However, they may precede or
follow a manic episode. Full descriptions of the diagnostic features of a hypomanic epi-
sode may be found within the text for bipola r II disorder, and the features of a major de-
pressive episode are described within th e text for major depressive disorder",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,174
"Associated Features Supporting Diagnosis
During a manic episode, individuals often do not perceive that they are ill or in need of treat-
ment and vehemently resist efforts to be treated. Individuals may change their dress, makeup,
or personal appearance to a more sexually su ggestive or flamboyant style. Some perceive a
sharper sense of smell, hearing, or vision. Gambling and antisocial behaviors may accompany
the manic episode. Some individuals may become  hostile and physically threatening to others
and, when delusional, may become physically  assaultive or suicidal. Catastrophic conse-
quences of a manic episode (e.g.,  involuntary hospitalization, difficulties with the law, serious
financial difficulties) often result from poor judgment, loss of insight, and hyperactivity. 
Mood may shift very rapidly to anger or depression. Depressive  symptoms may occur
during a manic episode and, if present, may last moments, hour s, or, more rarely, days (see
“with mixed features” specifier, pp. 149–150).",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,174
"130 Bipolar and Related Disorders
Prevalence
The 12-month prevalence estimate in the contin ental United States was 0.6% for bipolar I
disorder as defined in DSM-IV. Twelve-month prevalence of bipolar I disorder across 11
countries ranged from 0.0% to 0.6%. The life time male-to-female prevalence ratio is ap-
proximately 1.1:1. 
Development and Course
Mean age at onset of the first manic, hypomanic, or major depressive episode is approxi-
mately 18 years for bipola r I disorder. Special considerations are necessary to detect the di-
agnosis in children. Since children of the same chronological age may be at different
developmental stages, it is difficult to defi ne with precision what is “normal” or “ex-
pected” at any given point. Therefore, each ch ild should be judged according to his or her
own baseline. Onset occurs throughout the life  cycle, including firs t onsets in the 60s or
70s. Onset of manic symptoms (e.g., sexual or so cial disinhibition) in late mid-life or late-
life should prompt consideratio n of medical conditions (e.g., frontotemporal neurocogni-
tive disorder) and of substance ingestion or withdrawal. 
More than 90% of individuals who have a sin gle manic episode go on to have recurrent
mood episodes. Approximately 60% of manic episodes occur immediately before a major
depressive episode. Individuals with bipolar I disorder who have multiple (four or more)
mood episodes (major depressi ve, manic, or hypomanic) within 1 year receive the speci-
fier “with rapid cycling.” 
Risk and Prognostic Factors
Environmental. Bipolar disorder is mo re common in high-income than in low-income
countries (1.4 vs. 0.7%). Separated, divorced,  or widowed individuals have higher rates of
bipolar I disorder than do individuals who ar e married or have neve r been married, but
the direction of the association is unclear. 
Genetic and physiological. A family history of bipolar diso rder is one of the strongest and
most consistent risk factors for bipolar disord ers. There is an average 10-fold increased risk
among adult relatives of individuals with bipo lar I and bipolar II disorders. Magnitude of
risk increases with degree of kinship. Schizophrenia and bipolar disorder likely share a ge-
netic origin, reflected in familial co-aggregat ion of schizophrenia and bipolar disorder. 
Course modifiers. After an individual has a manic episode with psychotic features, subse-
quent manic episodes are more likely to in clude psychotic featur es. Incomplete inter-
episode recovery is more common when th e current episode is accompanied by mood-
incongruent psychotic features",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,175
